,Player
0,Joel Embiid
1,Joel Embiid
2,Stephen Curry
3,James Harden
4,James Harden
5,James Harden
6,Russell Westbrook
7,Stephen Curry
8,Russell Westbrook
9,Kevin Durant
10,Carmelo Anthony
11,Kevin Durant
12,Kevin Durant
13,Kevin Durant
14,Dwyane Wade
15,LeBron James
16,Kobe Bryant
17,Kobe Bryant
18,Allen Iverson
19,Tracy McGrady
20,Tracy McGrady
21,Allen Iverson
22,Allen Iverson
23,Shaquille O'Neal
24,Allen Iverson
25,Michael Jordan
26,Michael Jordan
27,Michael Jordan
28,Shaquille O'Neal
29,David Robinson
30,Michael Jordan
31,Michael Jordan
32,Michael Jordan
33,Michael Jordan
34,Michael Jordan
35,Michael Jordan
36,Michael Jordan
37,Dominique Wilkins
38,Bernard King
39,Adrian Dantley
40,Alex English
41,George Gervin
42,Adrian Dantley
43,George Gervin
44,George Gervin
45,George Gervin
46,Pete Maravich
47,Bob McAdoo
48,Julius Erving
49,Bob McAdoo
50,George McGinnis
51,Bob McAdoo
52,Julius Erving
53,Tiny Archibald
54,Julius Erving
55,Kareem Abdul-Jabbar
56,Charlie Scott
57,Kareem Abdul-Jabbar
58,Dan Issel
59,Jerry West
60,Spencer Haywood
61,Elvin Hayes
62,Rick Barry
63,Oscar Robertson
64,Connie Hawkins
65,Rick Barry
66,Wilt Chamberlain
67,Wilt Chamberlain
68,Wilt Chamberlain
69,Wilt Chamberlain
70,Wilt Chamberlain
71,Wilt Chamberlain
72,Wilt Chamberlain
73,Bob Pettit
74,George Yardley
75,Paul Arizin
76,Bob Pettit
77,Neil Johnston
78,Neil Johnston
79,Neil Johnston
80,Paul Arizin
81,George Mikan
82,George Mikan
83,George Mikan
84,Joe Fulks
85,Joe Fulks
